1299,MYSUA000471321                    ,H-CRS-JB                          ,670,250,315,115
1303,MYSUA000469714                    ,H-SGB-EA                          ,5560,420,500,315
1304,MYSUA000471283                    ,H-KLM-KL                          ,2930,210,380,170
1299,MYSUA000471321                    ,H-CRS-JB                          ,670,250,315,115
1303,MYSUA000469714                    ,H-SGB-EA                          ,5560,420,500,315
1304,MYSUA000471283                    ,H-KLM-KL                          ,2930,210,380,170
1299,MYSUA000471321                    ,H-CRS-JB                          ,670,250,315,115
1303,MYSUA000469714                    ,H-SGB-EA                          ,5560,420,500,315
1304,MYSUA000471283                    ,H-KLM-KL                          ,2930,210,380,170
1299,MYSUA000471321                    ,H-CRS-JB                          ,670,250,315,115
1303,MYSUA000469714                    ,H-SGB-EA                          ,5560,420,500,315
1304,MYSUA000471283                    ,H-KLM-KL                          ,2930,210,380,170
1299,MYSUA000471321                    ,H-CRS-JB                          ,670,250,315,115
1303,MYSUA000469714                    ,H-SGB-EA                          ,5560,420,500,315
1304,MYSUA000471283                    ,H-KLM-KL                          ,2930,210,380,170
1299,MYSUA000471321                    ,H-CRS-JB                          ,670,250,315,115
1303,MYSUA000469714                    ,H-SGB-EA                          ,5560,420,500,315
1304,MYSUA000471283                    ,H-KLM-KL                          ,2930,210,380,170
1299,MYSUA000471321                    ,H-CRS-JB                          ,670,250,315,115
1303,MYSUA000469714                    ,H-SGB-EA                          ,5560,420,500,315
1304,MYSUA000471283                    ,H-KLM-KL                          ,2930,210,380,170
1299,MYSUA000471321                    ,H-CRS-JB                          ,670,250,315,115
1303,MYSUA000469714                    ,H-SGB-EA                          ,5560,420,500,315
1304,MYSUA000471283                    ,H-KLM-KL                          ,2930,210,380,170
1299,MYSUA000471321                    ,H-CRS-JB                          ,670,250,315,115
1303,MYSUA000469714                    ,H-SGB-EA                          ,5560,420,500,315
1304,MYSUA000471283                    ,H-KLM-KL                          ,2930,210,380,170
1299,MYSUA000471321                    ,H-CRS-JB                          ,670,250,315,115
1303,MYSUA000469714                    ,H-SGB-EA                          ,5560,420,500,315
1304,MYSUA000471283                    ,H-KLM-KL                          ,2930,210,380,170
1299,MYSUA000471321                    ,H-CRS-JB                          ,670,250,315,115
1303,MYSUA000469714                    ,H-SGB-EA                          ,5560,420,500,315
1304,MYSUA000471283                    ,H-KLM-KL                          ,2930,210,380,170
1299,MYSUA000471321                    ,H-CRS-JB                          ,670,250,315,115
1303,MYSUA000469714                    ,H-SGB-EA                          ,5560,420,500,315
1304,MYSUA000471283                    ,H-KLM-KL                          ,2930,210,380,170
1299,MYSUA000471321                    ,H-CRS-JB                          ,670,250,315,115
1303,MYSUA000469714                    ,H-SGB-EA                          ,5560,420,500,315
1304,MYSUA000471283                    ,H-KLM-KL                          ,2930,210,380,170
1299,MYSUA000471321                    ,H-CRS-JB                          ,670,250,315,115
1303,MYSUA000469714                    ,H-SGB-EA                          ,5560,420,500,315
1304,MYSUA000471283                    ,H-KLM-KL                          ,2930,210,380,170
1299,MYSUA000471321                    ,H-CRS-JB                          ,670,250,315,115
1303,MYSUA000469714                    ,H-SGB-EA                          ,5560,420,500,315
1304,MYSUA000471283                    ,H-KLM-KL                          ,2930,210,380,170
1299,MYSUA000471321                    ,H-CRS-JB                          ,670,250,315,115
1303,MYSUA000469714                    ,H-SGB-EA                          ,5560,420,500,315
1304,MYSUA000471283                    ,H-KLM-KL                          ,2930,210,380,170
1299,MYSUA000471321                    ,H-CRS-JB                          ,670,250,315,115
1303,MYSUA000469714                    ,H-SGB-EA                          ,5560,420,500,315
1304,MYSUA000471283                    ,H-KLM-KL                          ,2930,210,380,170
1299,MYSUA000471321                    ,H-CRS-JB                          ,670,250,315,115
1303,MYSUA000469714                    ,H-SGB-EA                          ,5560,420,500,315
1304,MYSUA000471283                    ,H-KLM-KL                          ,2930,210,380,170
1299,MYSUA000471321                    ,H-CRS-JB                          ,670,250,315,115
1303,MYSUA000469714                    ,H-SGB-EA                          ,5560,420,500,315
1304,MYSUA000471283                    ,H-KLM-KL                          ,2930,210,380,170
1299,MYSUA000471321                    ,H-CRS-JB                          ,670,250,315,115
1303,MYSUA000469714                    ,H-SGB-EA                          ,5560,420,500,315
1304,MYSUA000471283                    ,H-KLM-KL                          ,2930,210,380,170
1299,MYSUA000471321                    ,H-CRS-JB                          ,670,250,315,115
1303,MYSUA000469714                    ,H-SGB-EA                          ,5560,420,500,315
1304,MYSUA000471283                    ,H-KLM-KL                          ,2930,210,380,170
1299,MYSUA000471321                    ,H-CRS-JB                          ,670,250,315,115
1303,MYSUA000469714                    ,H-SGB-EA                          ,5560,420,500,315
1304,MYSUA000471283                    ,H-KLM-KL                          ,2930,210,380,170
1299,MYSUA000471321                    ,H-CRS-JB                          ,670,250,315,115
1303,MYSUA000469714                    ,H-SGB-EA                          ,5560,420,500,315
1304,MYSUA000471283                    ,H-KLM-KL                          ,2930,210,380,170
1299,MYSUA000471321                    ,H-CRS-JB                          ,670,250,315,115
1303,MYSUA000469714                    ,H-SGB-EA                          ,5560,420,500,315
1304,MYSUA000471283                    ,H-KLM-KL                          ,2930,210,380,170
1299,MYSUA000471321                    ,H-CRS-JB                          ,670,250,315,115
1303,MYSUA000469714                    ,H-SGB-EA                          ,5560,420,500,315
1304,MYSUA000471283                    ,H-KLM-KL                          ,2930,210,380,170
1299,MYSUA000471321                    ,H-CRS-JB                          ,670,250,315,115
1303,MYSUA000469714                    ,H-SGB-EA                          ,5560,420,500,315
1304,MYSUA000471283                    ,H-KLM-KL                          ,2930,210,380,170
1299,MYSUA000471321                    ,H-CRS-JB                          ,670,250,315,115
1303,MYSUA000469714                    ,H-SGB-EA                          ,5560,420,500,315
1304,MYSUA000471283                    ,H-KLM-KL                          ,2930,210,380,170
1299,MYSUA000471321                    ,H-CRS-JB                          ,670,250,315,115
1303,MYSUA000469714                    ,H-SGB-EA                          ,5560,420,500,315
1304,MYSUA000471283                    ,H-KLM-KL                          ,2930,210,380,170
1299,MYSUA000471321                    ,H-CRS-JB                          ,670,250,315,115
1303,MYSUA000469714                    ,H-SGB-EA                          ,5560,420,500,315
1304,MYSUA000471283                    ,H-KLM-KL                          ,2930,210,380,170
1299,MYSUA000471321                    ,H-CRS-JB                          ,670,250,315,115
1303,MYSUA000469714                    ,H-SGB-EA                          ,5560,420,500,315
1304,MYSUA000471283                    ,H-KLM-KL                          ,2930,210,380,170
1299,MYSUA000471321                    ,H-CRS-JB                          ,670,250,315,115
1303,MYSUA000469714                    ,H-SGB-EA                          ,5560,420,500,315
1304,MYSUA000471283                    ,H-KLM-KL                          ,2930,210,380,170
1299,MYSUA000471321                    ,H-CRS-JB                          ,670,250,315,115
1303,MYSUA000469714                    ,H-SGB-EA                          ,5560,420,500,315
1304,MYSUA000471283                    ,H-KLM-KL                          ,2930,210,380,170
1299,MYSUA000471321                    ,H-CRS-JB                          ,670,250,315,115
1303,MYSUA000469714                    ,H-SGB-EA                          ,5560,420,500,315
1304,MYSUA000471283                    ,H-KLM-KL                          ,2930,210,380,170
1299,MYSUA000471321                    ,H-CRS-JB                          ,670,250,315,115
1303,MYSUA000469714                    ,H-SGB-EA                          ,5560,420,500,315
1304,MYSUA000471283                    ,H-KLM-KL                          ,2930,210,380,170
1299,MYSUA000471321                    ,H-CRS-JB                          ,670,250,315,115
1303,MYSUA000469714                    ,H-SGB-EA                          ,5560,420,500,315
1304,MYSUA000471283                    ,H-KLM-KL                          ,2930,210,380,170
1299,MYSUA000471321                    ,H-CRS-JB                          ,670,250,315,115
1303,MYSUA000469714                    ,H-SGB-EA                          ,5560,420,500,315
1304,MYSUA000471283                    ,H-KLM-KL                          ,2930,210,380,170
1299,MYSUA000471321                    ,H-CRS-JB                          ,670,250,315,115
1303,MYSUA000469714                    ,H-SGB-EA                          ,5560,420,500,315
1304,MYSUA000471283                    ,H-KLM-KL                          ,2930,210,380,170
1299,MYSUA000471321                    ,H-CRS-JB                          ,670,250,315,115
1303,MYSUA000469714                    ,H-SGB-EA                          ,5560,420,500,315
1304,MYSUA000471283                    ,H-KLM-KL                          ,2930,210,380,170
1299,MYSUA000471321                    ,H-CRS-JB                          ,670,250,315,115
1303,MYSUA000469714                    ,H-SGB-EA                          ,5560,420,500,315
1304,MYSUA000471283                    ,H-KLM-KL                          ,2930,210,380,170
1299,MYSUA000471321                    ,H-CRS-JB                          ,670,250,315,115
1303,MYSUA000469714                    ,H-SGB-EA                          ,5560,420,500,315
1304,MYSUA000471283                    ,H-KLM-KL                          ,2930,210,380,170
1299,MYSUA000471321                    ,H-CRS-JB                          ,670,250,315,115
1303,MYSUA000469714                    ,H-SGB-EA                          ,5560,420,500,315
1304,MYSUA000471283                    ,H-KLM-KL                          ,2930,210,380,170
1299,MYSUA000471321                    ,H-CRS-JB                          ,670,250,315,115
1303,MYSUA000469714                    ,H-SGB-EA                          ,5560,420,500,315
1304,MYSUA000471283                    ,H-KLM-KL                          ,2930,210,380,170
1299,MYSUA000471321                    ,H-CRS-JB                          ,670,250,315,115
1303,MYSUA000469714                    ,H-SGB-EA                          ,5560,420,500,315
1304,MYSUA000471283                    ,H-KLM-KL                          ,2930,210,380,170
1299,MYSUA000471321                    ,H-CRS-JB                          ,670,250,315,115
1303,MYSUA000469714                    ,H-SGB-EA                          ,5560,420,500,315
1304,MYSUA000471283                    ,H-KLM-KL                          ,2930,210,380,170
1299,MYSUA000471321                    ,H-CRS-JB                          ,670,250,315,115
1303,MYSUA000469714                    ,H-SGB-EA                          ,5560,420,500,315
1304,MYSUA000471283                    ,H-KLM-KL                          ,2930,210,380,170
1299,MYSUA000471321                    ,H-CRS-JB                          ,670,250,315,115
1303,MYSUA000469714                    ,H-SGB-EA                          ,5560,420,500,315
1304,MYSUA000471283                    ,H-KLM-KL                          ,2930,210,380,170
1299,MYSUA000471321                    ,H-CRS-JB                          ,670,250,315,115
1303,MYSUA000469714                    ,H-SGB-EA                          ,5560,420,500,315
1304,MYSUA000471283                    ,H-KLM-KL                          ,2930,210,380,170
1299,MYSUA000471321                    ,H-CRS-JB                          ,670,250,315,115
1303,MYSUA000469714                    ,H-SGB-EA                          ,5560,420,500,315
1304,MYSUA000471283                    ,H-KLM-KL                          ,2930,210,380,170
1299,MYSUA000471321                    ,H-CRS-JB                          ,670,250,315,115
1303,MYSUA000469714                    ,H-SGB-EA                          ,5560,420,500,315
1304,MYSUA000471283                    ,H-KLM-KL                          ,2930,210,380,170
1299,MYSUA000471321                    ,H-CRS-JB                          ,670,250,315,115
1303,MYSUA000469714                    ,H-SGB-EA                          ,5560,420,500,315
1304,MYSUA000471283                    ,H-KLM-KL                          ,2930,210,380,170
1299,MYSUA000471321                    ,H-CRS-JB                          ,670,250,315,115
1303,MYSUA000469714                    ,H-SGB-EA                          ,5560,420,500,315
1304,MYSUA000471283                    ,H-KLM-KL                          ,2930,210,380,170
1299,MYSUA000471321                    ,H-CRS-JB                          ,670,250,315,115
1303,MYSUA000469714                    ,H-SGB-EA                          ,5560,420,500,315
1304,MYSUA000471283                    ,H-KLM-KL                          ,2930,210,380,170
1299,MYSUA000471321                    ,H-CRS-JB                          ,670,250,315,115
1303,MYSUA000469714                    ,H-SGB-EA                          ,5560,420,500,315
1304,MYSUA000471283                    ,H-KLM-KL                          ,2930,210,380,170
1299,MYSUA000471321                    ,H-CRS-JB                          ,670,250,315,115
1303,MYSUA000469714                    ,H-SGB-EA                          ,5560,420,500,315
1304,MYSUA000471283                    ,H-KLM-KL                          ,2930,210,380,170
1299,MYSUA000471321                    ,H-CRS-JB                          ,670,250,315,115
1303,MYSUA000469714                    ,H-SGB-EA                          ,5560,420,500,315
1304,MYSUA000471283                    ,H-KLM-KL                          ,2930,210,380,170
1299,MYSUA000471321                    ,H-CRS-JB                          ,670,250,315,115
1303,MYSUA000469714                    ,H-SGB-EA                          ,5560,420,500,315
1304,MYSUA000471283                    ,H-KLM-KL                          ,2930,210,380,170
1299,MYSUA000471321                    ,H-CRS-JB                          ,670,250,315,115
1303,MYSUA000469714                    ,H-SGB-EA                          ,5560,420,500,315
1304,MYSUA000471283                    ,H-KLM-KL                          ,2930,210,380,170
1299,MYSUA000471321                    ,H-CRS-JB                          ,670,250,315,115
1303,MYSUA000469714                    ,H-SGB-EA                          ,5560,420,500,315
1304,MYSUA000471283                    ,H-KLM-KL                          ,2930,210,380,170
1299,MYSUA000471321                    ,H-CRS-JB                          ,670,250,315,115
1303,MYSUA000469714                    ,H-SGB-EA                          ,5560,420,500,315
1304,MYSUA000471283                    ,H-KLM-KL                          ,2930,210,380,170
1299,MYSUA000471321                    ,H-CRS-JB                          ,670,250,315,115
1303,MYSUA000469714                    ,H-SGB-EA                          ,5560,420,500,315
1304,MYSUA000471283                    ,H-KLM-KL                          ,2930,210,380,170
1299,MYSUA000471321                    ,H-CRS-JB                          ,670,250,315,115
1303,MYSUA000469714                    ,H-SGB-EA                          ,5560,420,500,315
1304,MYSUA000471283                    ,H-KLM-KL                          ,2930,210,380,170
1299,MYSUA000471321                    ,H-CRS-JB                          ,670,250,315,115
1303,MYSUA000469714                    ,H-SGB-EA                          ,5560,420,500,315
1304,MYSUA000471283                    ,H-KLM-KL                          ,2930,210,380,170
1299,MYSUA000471321                    ,H-CRS-JB                          ,670,250,315,115
1303,MYSUA000469714                    ,H-SGB-EA                          ,5560,420,500,315
1304,MYSUA000471283                    ,H-KLM-KL                          ,2930,210,380,170
1299,MYSUA000471321                    ,H-CRS-JB                          ,670,250,315,115
1303,MYSUA000469714                    ,H-SGB-EA                          ,5560,420,500,315
1304,MYSUA000471283                    ,H-KLM-KL                          ,2930,210,380,170
1299,MYSUA000471321                    ,H-CRS-JB                          ,670,250,315,115
1303,MYSUA000469714                    ,H-SGB-EA                          ,5560,420,500,315
1304,MYSUA000471283                    ,H-KLM-KL                          ,2930,210,380,170
1299,MYSUA000471321                    ,H-CRS-JB                          ,670,250,315,115
1303,MYSUA000469714                    ,H-SGB-EA                          ,5560,420,500,315
1304,MYSUA000471283                    ,H-KLM-KL                          ,2930,210,380,170
1299,MYSUA000471321                    ,H-CRS-JB                          ,670,250,315,115
1303,MYSUA000469714                    ,H-SGB-EA                          ,5560,420,500,315
1304,MYSUA000471283                    ,H-KLM-KL                          ,2930,210,380,170
1299,MYSUA000471321                    ,H-CRS-JB                          ,670,250,315,115
1303,MYSUA000469714                    ,H-SGB-EA                          ,5560,420,500,315
1304,MYSUA000471283                    ,H-KLM-KL                          ,2930,210,380,170
1299,MYSUA000471321                    ,H-CRS-JB                          ,670,250,315,115
1303,MYSUA000469714                    ,H-SGB-EA                          ,5560,420,500,315
1304,MYSUA000471283                    ,H-KLM-KL                          ,2930,210,380,170
1299,MYSUA000471321                    ,H-CRS-JB                          ,670,250,315,115
1303,MYSUA000469714                    ,H-SGB-EA                          ,5560,420,500,315
1304,MYSUA000471283                    ,H-KLM-KL                          ,2930,210,380,170
1299,MYSUA000471321                    ,H-CRS-JB                          ,670,250,315,115
1303,MYSUA000469714                    ,H-SGB-EA                          ,5560,420,500,315
1304,MYSUA000471283                    ,H-KLM-KL                          ,2930,210,380,170
1299,MYSUA000471321                    ,H-CRS-JB                          ,670,250,315,115
1303,MYSUA000469714                    ,H-SGB-EA                          ,5560,420,500,315
1304,MYSUA000471283                    ,H-KLM-KL                          ,2930,210,380,170
1299,MYSUA000471321                    ,H-CRS-JB                          ,670,250,315,115
1303,MYSUA000469714                    ,H-SGB-EA                          ,5560,420,500,315
1304,MYSUA000471283                    ,H-KLM-KL                          ,2930,210,380,170
1299,MYSUA000471321                    ,H-CRS-JB                          ,670,250,315,115
1303,MYSUA000469714                    ,H-SGB-EA                          ,5560,420,500,315
1304,MYSUA000471283                    ,H-KLM-KL                          ,2930,210,380,170
1299,MYSUA000471321                    ,H-CRS-JB                          ,670,250,315,115
1303,MYSUA000469714                    ,H-SGB-EA                          ,5560,420,500,315
1304,MYSUA000471283                    ,H-KLM-KL                          ,2930,210,380,170
1299,MYSUA000471321                    ,H-CRS-JB                          ,670,250,315,115
1303,MYSUA000469714                    ,H-SGB-EA                          ,5560,420,500,315
1304,MYSUA000471283                    ,H-KLM-KL                          ,2930,210,380,170
1299,MYSUA000471321                    ,H-CRS-JB                          ,670,250,315,115
1303,MYSUA000469714                    ,H-SGB-EA                          ,5560,420,500,315
1304,MYSUA000471283                    ,H-KLM-KL                          ,2930,210,380,170
1299,MYSUA000471321                    ,H-CRS-JB                          ,670,250,315,115
1303,MYSUA000469714                    ,H-SGB-EA                          ,5560,420,500,315
1304,MYSUA000471283                    ,H-KLM-KL                          ,2930,210,380,170
1299,MYSUA000471321                    ,H-CRS-JB                          ,670,250,315,115
1303,MYSUA000469714                    ,H-SGB-EA                          ,5560,420,500,315
1304,MYSUA000471283                    ,H-KLM-KL                          ,2930,210,380,170
1299,MYSUA000471321                    ,H-CRS-JB                          ,670,250,315,115
1303,MYSUA000469714                    ,H-SGB-EA                          ,5560,420,500,315
1304,MYSUA000471283                    ,H-KLM-KL                          ,2930,210,380,170
1299,MYSUA000471321                    ,H-CRS-JB                          ,670,250,315,115
1303,MYSUA000469714                    ,H-SGB-EA                          ,5560,420,500,315
1304,MYSUA000471283                    ,H-KLM-KL                          ,2930,210,380,170
1299,MYSUA000471321                    ,H-CRS-JB                          ,670,250,315,115
1303,MYSUA000469714                    ,H-SGB-EA                          ,5560,420,500,315
1304,MYSUA000471283                    ,H-KLM-KL                          ,2930,210,380,170
1299,MYSUA000471321                    ,H-CRS-JB                          ,670,250,315,115
1303,MYSUA000469714                    ,H-SGB-EA                          ,5560,420,500,315
1304,MYSUA000471283                    ,H-KLM-KL                          ,2930,210,380,170
1299,MYSUA000471321                    ,H-CRS-JB                          ,670,250,315,115
1303,MYSUA000469714                    ,H-SGB-EA                          ,5560,420,500,315
1304,MYSUA000471283                    ,H-KLM-KL                          ,2930,210,380,170
1299,MYSUA000471321                    ,H-CRS-JB                          ,670,250,315,115
1303,MYSUA000469714                    ,H-SGB-EA                          ,5560,420,500,315
1304,MYSUA000471283                    ,H-KLM-KL                          ,2930,210,380,170
1299,MYSUA000471321                    ,H-CRS-JB                          ,670,250,315,115
1303,MYSUA000469714                    ,H-SGB-EA                          ,5560,420,500,315
1304,MYSUA000471283                    ,H-KLM-KL                          ,2930,210,380,170
1299,MYSUA000471321                    ,H-CRS-JB                          ,670,250,315,115
1303,MYSUA000469714                    ,H-SGB-EA                          ,5560,420,500,315
1304,MYSUA000471283                    ,H-KLM-KL                          ,2930,210,380,170
1299,MYSUA000471321                    ,H-CRS-JB                          ,670,250,315,115
1303,MYSUA000469714                    ,H-SGB-EA                          ,5560,420,500,315
1304,MYSUA000471283                    ,H-KLM-KL                          ,2930,210,380,170
1299,MYSUA000471321                    ,H-CRS-JB                          ,670,250,315,115
1303,MYSUA000469714                    ,H-SGB-EA                          ,5560,420,500,315
1304,MYSUA000471283                    ,H-KLM-KL                          ,2930,210,380,170
1299,MYSUA000471321                    ,H-CRS-JB                          ,670,250,315,115
1303,MYSUA000469714                    ,H-SGB-EA                          ,5560,420,500,315
1304,MYSUA000471283                    ,H-KLM-KL                          ,2930,210,380,170
1299,MYSUA000471321                    ,H-CRS-JB                          ,670,250,315,115
1303,MYSUA000469714                    ,H-SGB-EA                          ,5560,420,500,315
1304,MYSUA000471283                    ,H-KLM-KL                          ,2930,210,380,170
1299,MYSUA000471321                    ,H-CRS-JB                          ,670,250,315,115
1303,MYSUA000469714                    ,H-SGB-EA                          ,5560,420,500,315
1304,MYSUA000471283                    ,H-KLM-KL                          ,2930,210,380,170
1299,MYSUA000471321                    ,H-CRS-JB                          ,670,250,315,115
1303,MYSUA000469714                    ,H-SGB-EA                          ,5560,420,500,315
1304,MYSUA000471283                    ,H-KLM-KL                          ,2930,210,380,170
1299,MYSUA000471321                    ,H-CRS-JB                          ,670,250,315,115
1303,MYSUA000469714                    ,H-SGB-EA                          ,5560,420,500,315
1304,MYSUA000471283                    ,H-KLM-KL                          ,2930,210,380,170
1299,MYSUA000471321                    ,H-CRS-JB                          ,670,250,315,115
1303,MYSUA000469714                    ,H-SGB-EA                          ,5560,420,500,315
1304,MYSUA000471283                    ,H-KLM-KL                          ,2930,210,380,170
1299,MYSUA000471321                    ,H-CRS-JB                          ,670,250,315,115
1303,MYSUA000469714                    ,H-SGB-EA                          ,5560,420,500,315
1304,MYSUA000471283                    ,H-KLM-KL                          ,2930,210,380,170
1299,MYSUA000471321                    ,H-CRS-JB                          ,670,250,315,115
1303,MYSUA000469714                    ,H-SGB-EA                          ,5560,420,500,315
1304,MYSUA000471283                    ,H-KLM-KL                          ,2930,210,380,170
1299,MYSUA000471321                    ,H-CRS-JB                          ,670,250,315,115
1303,MYSUA000469714                    ,H-SGB-EA                          ,5560,420,500,315
1304,MYSUA000471283                    ,H-KLM-KL                          ,2930,210,380,170
1299,MYSUA000471321                    ,H-CRS-JB                          ,670,250,315,115
1303,MYSUA000469714                    ,H-SGB-EA                          ,5560,420,500,315
1304,MYSUA000471283                    ,H-KLM-KL                          ,2930,210,380,170
1299,MYSUA000471321                    ,H-CRS-JB                          ,670,250,315,115
1303,MYSUA000469714                    ,H-SGB-EA                          ,5560,420,500,315
1304,MYSUA000471283                    ,H-KLM-KL                          ,2930,210,380,170
1299,MYSUA000471321                    ,H-CRS-JB                          ,670,250,315,115
1303,MYSUA000469714                    ,H-SGB-EA                          ,5560,420,500,315
1304,MYSUA000471283                    ,H-KLM-KL                          ,2930,210,380,170
1299,MYSUA000471321                    ,H-CRS-JB                          ,670,250,315,115
1303,MYSUA000469714                    ,H-SGB-EA                          ,5560,420,500,315
1304,MYSUA000471283                    ,H-KLM-KL                          ,2930,210,380,170
1299,MYSUA000471321                    ,H-CRS-JB                          ,670,250,315,115
1303,MYSUA000469714                    ,H-SGB-EA                          ,5560,420,500,315
1304,MYSUA000471283                    ,H-KLM-KL                          ,2930,210,380,170
1299,MYSUA000471321                    ,H-CRS-JB                          ,670,250,315,115
1303,MYSUA000469714                    ,H-SGB-EA                          ,5560,420,500,315
1304,MYSUA000471283                    ,H-KLM-KL                          ,2930,210,380,170
1299,MYSUA000471321                    ,H-CRS-JB                          ,670,250,315,115
